,University,Location
232,City University of New York,40.7300°N 73.9970°W
233,University of Alberta,53.52444°N 113.52444°W
234,usyd,33.88778°S 151.18722°E
235,Queensland University of Technology,27.47694°S 153.02806°E
236,Technische Universität Darmstadt,49.874995°N 8.656517°E
237,University of Prince Edward Island,46.259°N 63.138°W
238,Copenhagen Business School,55.6816250°N 12.5297333°E
239,Yokohama National University,35.474°N 139.59°E
240,ouj,34.911062°N 36.407998°E
241,Idaho State University,42.861°N 112.434°W
242,Indiana University/Purdue University at Indianapolis,39.167°N 86.500°W
243,"University of California, Riverside",37.802168°N 122.271281°W
244,Kansas State University,39.19167°N 96.58083°W
245,Universität Konstanz,47.690°N 9.188°E
246,University of Turku,60.45417°N 22.28472°E
247,San Diego State University,32.77528°N 117.07222°W
